#T mu_pi mu_K (MeV)
#Top RHIC & LHC
0.1 0.0818 0.171
0.11 0.0723 0.143
0.12 0.0605 0.115
0.13 0.0469 0.0866
0.14 0.032. 0.0579
0.15 0.0162 0.029
0.16 0.0 0.0
